date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:45:13	11873/11873	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2262729012-2e61%22	https://www.theiptv.store/-_-/common/fonts/Poppins-latin_latin-ext-500.eot	C:/My%20Web%20Sites/ip1/www.theiptv.store/-_-/common/fonts/Poppins-latin_latin-ext-500.eot	(from https://www.theiptv.store/)
21:45:13	11873/11873	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2262729012-2e61%22	https://www.theiptv.store/-_-/common/fonts/Poppins-latin_latin-ext-500.eot?	C:/My%20Web%20Sites/ip1/www.theiptv.store/-_-/common/fonts/Poppins-latin_latin-ext-500d41d.eot	(from https://www.theiptv.store/)
21:45:13	10660/10660	---M--	200	added ('OK')	font/woff2	etag:%2262729012-29a4%22	https://www.theiptv.store/-_-/common/fonts/Poppins-latin_latin-ext-500.woff2	C:/My%20Web%20Sites/ip1/www.theiptv.store/-_-/common/fonts/Poppins-latin_latin-ext-500.woff2	(from https://www.theiptv.store/)
21:45:13	14048/14048	---M--	200	added ('OK')	font/woff	etag:%2262729012-36e0%22	https://www.theiptv.store/-_-/common/fonts/Poppins-latin_latin-ext-500.woff	C:/My%20Web%20Sites/ip1/www.theiptv.store/-_-/common/fonts/Poppins-latin_latin-ext-500.woff	(from https://www.theiptv.store/)
21:45:14	23332/23332	---M--	200	added ('OK')	application/octet-stream	etag:%2262729012-5b24%22	https://www.theiptv.store/-_-/common/fonts/Poppins-latin_latin-ext-500.ttf	C:/My%20Web%20Sites/ip1/www.theiptv.store/-_-/common/fonts/Poppins-latin_latin-ext-500.ttf	(from https://www.theiptv.store/)
21:45:14	52187/52187	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2262729012-cbdb%22	https://www.theiptv.store/-_-/common/fonts/Poppins-latin_latin-ext-500.svg	C:/My%20Web%20Sites/ip1/www.theiptv.store/-_-/common/fonts/Poppins-latin_latin-ext-500.svg	(from https://www.theiptv.store/)
21:45:14	11728/11728	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2262729012-2dd0%22	https://www.theiptv.store/-_-/common/fonts/Poppins-latin_latin-ext-700.eot	C:/My%20Web%20Sites/ip1/www.theiptv.store/-_-/common/fonts/Poppins-latin_latin-ext-700.eot	(from https://www.theiptv.store/)
21:45:14	11728/11728	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2262729012-2dd0%22	https://www.theiptv.store/-_-/common/fonts/Poppins-latin_latin-ext-700.eot?	C:/My%20Web%20Sites/ip1/www.theiptv.store/-_-/common/fonts/Poppins-latin_latin-ext-700d41d.eot	(from https://www.theiptv.store/)
21:45:15	10524/10524	---M--	200	added ('OK')	font/woff2	etag:%2262729012-291c%22	https://www.theiptv.store/-_-/common/fonts/Poppins-latin_latin-ext-700.woff2	C:/My%20Web%20Sites/ip1/www.theiptv.store/-_-/common/fonts/Poppins-latin_latin-ext-700.woff2	(from https://www.theiptv.store/)
21:45:15	13928/13928	---M--	200	added ('OK')	font/woff	etag:%2262729012-3668%22	https://www.theiptv.store/-_-/common/fonts/Poppins-latin_latin-ext-700.woff	C:/My%20Web%20Sites/ip1/www.theiptv.store/-_-/common/fonts/Poppins-latin_latin-ext-700.woff	(from https://www.theiptv.store/)
21:45:15	23072/23072	---M--	200	added ('OK')	application/octet-stream	etag:%2262729012-5a20%22	https://www.theiptv.store/-_-/common/fonts/Poppins-latin_latin-ext-700.ttf	C:/My%20Web%20Sites/ip1/www.theiptv.store/-_-/common/fonts/Poppins-latin_latin-ext-700.ttf	(from https://www.theiptv.store/)
21:45:15	51343/51343	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2262729012-c88f%22	https://www.theiptv.store/-_-/common/fonts/Poppins-latin_latin-ext-700.svg	C:/My%20Web%20Sites/ip1/www.theiptv.store/-_-/common/fonts/Poppins-latin_latin-ext-700.svg	(from https://www.theiptv.store/)
21:45:15	13937/13937	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2262729012-3671%22	https://www.theiptv.store/-_-/common/fonts/Poppins-latin_latin-ext-500italic.eot	C:/My%20Web%20Sites/ip1/www.theiptv.store/-_-/common/fonts/Poppins-latin_latin-ext-500italic.eot	(from https://www.theiptv.store/)
21:45:16	13937/13937	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2262729012-3671%22	https://www.theiptv.store/-_-/common/fonts/Poppins-latin_latin-ext-500italic.eot?	C:/My%20Web%20Sites/ip1/www.theiptv.store/-_-/common/fonts/Poppins-latin_latin-ext-500italicd41d.eot	(from https://www.theiptv.store/)
21:45:16	12408/12408	---M--	200	added ('OK')	font/woff2	etag:%2262729012-3078%22	https://www.theiptv.store/-_-/common/fonts/Poppins-latin_latin-ext-500italic.woff2	C:/My%20Web%20Sites/ip1/www.theiptv.store/-_-/common/fonts/Poppins-latin_latin-ext-500italic.woff2	(from https://www.theiptv.store/)
21:45:16	16236/16236	---M--	200	added ('OK')	font/woff	etag:%2262729012-3f6c%22	https://www.theiptv.store/-_-/common/fonts/Poppins-latin_latin-ext-500italic.woff	C:/My%20Web%20Sites/ip1/www.theiptv.store/-_-/common/fonts/Poppins-latin_latin-ext-500italic.woff	(from https://www.theiptv.store/)
21:45:17	25376/25376	---M--	200	added ('OK')	application/octet-stream	etag:%2262729012-6320%22	https://www.theiptv.store/-_-/common/fonts/Poppins-latin_latin-ext-500italic.ttf	C:/My%20Web%20Sites/ip1/www.theiptv.store/-_-/common/fonts/Poppins-latin_latin-ext-500italic.ttf	(from https://www.theiptv.store/)
21:45:17	58339/58339	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2262729012-e3e3%22	https://www.theiptv.store/-_-/common/fonts/Poppins-latin_latin-ext-500italic.svg	C:/My%20Web%20Sites/ip1/www.theiptv.store/-_-/common/fonts/Poppins-latin_latin-ext-500italic.svg	(from https://www.theiptv.store/)
